Elapsed Time, Bank, EEPROM, Failures
1, 0, 0, 0
1, 0, 1, 0
1, 0, 2, 0
1, 0, 3, 0
8, 0, 4, 0
15, 0, 5, 0
21, 0, 6, 0
28, 0, 7, 0
30, 1, 0, 0
31, 1, 1, 0
32, 1, 2, 0
33, 1, 3, 0
40, 1, 4, 0
47, 1, 5, 0
53, 1, 6, 0
60, 1, 7, 0
60, 0, 0, 0
61, 0, 1, 0
61, 0, 2, 0
61, 0, 3, 0
68, 0, 4, 0
74, 0, 5, 0
81, 0, 6, 0
88, 0, 7, 0
90, 1, 0, 0
91, 1, 1, 0
93, 1, 2, 0
95, 1, 3, 0
101, 1, 4, 0
108, 1, 5, 0
115, 1, 6, 0
122, 1, 7, 0
122, 0, 0, 0
122, 0, 1, 0
122, 0, 2, 0
122, 0, 3, 0
129, 0, 4, 0
136, 0, 5, 0
143, 0, 6, 0
149, 0, 7, 0
151, 1, 0, 0
153, 1, 1, 0
154, 1, 2, 0
156, 1, 3, 0
162, 1, 4, 0
168, 1, 5, 0
174, 1, 6, 0
180, 1, 7, 0
180, 0, 0, 0
181, 0, 1, 0
181, 0, 2, 0
181, 0, 3, 0
187, 0, 4, 0
193, 0, 5, 0
199, 0, 6, 0
205, 0, 7, 0
206, 1, 0, 0
208, 1, 1, 0
209, 1, 2, 0
211, 1, 3, 0
217, 1, 4, 0
223, 1, 5, 0
229, 1, 6, 0
235, 1, 7, 0
235, 0, 0, 0
235, 0, 1, 0
236, 0, 2, 0
236, 0, 3, 0
242, 0, 4, 0
248, 0, 5, 0
254, 0, 6, 0
260, 0, 7, 0
261, 1, 0, 0
263, 1, 1, 0
264, 1, 2, 0
266, 1, 3, 0
272, 1, 4, 0
278, 1, 5, 0
284, 1, 6, 0
290, 1, 7, 0
291, 0, 0, 0
291, 0, 1, 0
291, 0, 2, 0
291, 0, 3, 0
297, 0, 4, 0
303, 0, 5, 0
309, 0, 6, 0
315, 0, 7, 0
317, 1, 0, 0
318, 1, 1, 0
320, 1, 2, 0
321, 1, 3, 0
327, 1, 4, 0
333, 1, 5, 0
339, 1, 6, 0
345, 1, 7, 0
