Elapsed Time, Bank, EEPROM, Failures
1, 0, 0, 0
1, 0, 1, 0
1, 0, 2, 0
1, 0, 3, 0
8, 0, 4, 0
15, 0, 5, 0
22, 0, 6, 0
29, 0, 7, 0
31, 1, 0, 0
32, 1, 1, 0
34, 1, 2, 0
36, 1, 3, 0
43, 1, 4, 0
50, 1, 5, 0
57, 1, 6, 0
63, 1, 7, 0
64, 0, 0, 0
64, 0, 1, 0
64, 0, 2, 0
64, 0, 3, 0
71, 0, 4, 0
78, 0, 5, 0
85, 0, 6, 0
92, 0, 7, 0
94, 1, 0, 0
95, 1, 1, 0
97, 1, 2, 0
99, 1, 3, 0
106, 1, 4, 0
112, 1, 5, 0
119, 1, 6, 0
126, 1, 7, 0
126, 0, 0, 0
127, 0, 1, 0
127, 0, 2, 0
127, 0, 3, 0
134, 0, 4, 0
141, 0, 5, 0
148, 0, 6, 0
155, 0, 7, 0
156, 1, 0, 0
158, 1, 1, 0
160, 1, 2, 0
162, 1, 3, 0
168, 1, 4, 0
175, 1, 5, 0
182, 1, 6, 0
189, 1, 7, 0
189, 0, 0, 0
190, 0, 1, 0
190, 0, 2, 0
190, 0, 3, 0
197, 0, 4, 0
204, 0, 5, 0
211, 0, 6, 0
218, 0, 7, 0
219, 1, 0, 0
221, 1, 1, 0
223, 1, 2, 0
224, 1, 3, 0
231, 1, 4, 0
238, 1, 5, 0
245, 1, 6, 0
252, 1, 7, 0
252, 0, 0, 0
252, 0, 1, 0
253, 0, 2, 0
253, 0, 3, 0
260, 0, 4, 0
267, 0, 5, 0
274, 0, 6, 0
280, 0, 7, 0
282, 1, 0, 0
284, 1, 1, 0
286, 1, 2, 0
287, 1, 3, 0
294, 1, 4, 0
301, 1, 5, 0
308, 1, 6, 0
315, 1, 7, 0
315, 0, 0, 0
315, 0, 1, 0
315, 0, 2, 0
316, 0, 3, 0
322, 0, 4, 0
328, 0, 5, 0
334, 0, 6, 0
340, 0, 7, 0
342, 1, 0, 0
343, 1, 1, 0
345, 1, 2, 0
346, 1, 3, 0
353, 1, 4, 0
359, 1, 5, 0
365, 1, 6, 0
372, 1, 7, 0
372, 0, 0, 0
372, 0, 1, 0
372, 0, 2, 0
373, 0, 3, 0
380, 0, 4, 0
386, 0, 5, 0
393, 0, 6, 0
400, 0, 7, 0
402, 1, 0, 0
404, 1, 1, 0
405, 1, 2, 0
407, 1, 3, 0
414, 1, 4, 0
421, 1, 5, 0
428, 1, 6, 0
434, 1, 7, 0
435, 0, 0, 0
435, 0, 1, 0
435, 0, 2, 0
435, 0, 3, 0
442, 0, 4, 0
449, 0, 5, 0
456, 0, 6, 0
463, 0, 7, 0
464, 1, 0, 0
466, 1, 1, 0
468, 1, 2, 0
469, 1, 3, 0
476, 1, 4, 0
483, 1, 5, 0
490, 1, 6, 0
497, 1, 7, 0
497, 0, 0, 0
497, 0, 1, 0
498, 0, 2, 0
498, 0, 3, 0
505, 0, 4, 0
512, 0, 5, 0
518, 0, 6, 0
525, 0, 7, 0
527, 1, 0, 0
529, 1, 1, 0
530, 1, 2, 0
532, 1, 3, 0
539, 1, 4, 0
546, 1, 5, 0
553, 1, 6, 0
560, 1, 7, 0
560, 0, 0, 0
560, 0, 1, 0
560, 0, 2, 0
560, 0, 3, 0
567, 0, 4, 0
574, 0, 5, 0
581, 0, 6, 0
588, 0, 7, 0
590, 1, 0, 0
591, 1, 1, 0
593, 1, 2, 0
595, 1, 3, 0
602, 1, 4, 0
608, 1, 5, 0
615, 1, 6, 0
622, 1, 7, 0
622, 0, 0, 0
623, 0, 1, 0
623, 0, 2, 0
623, 0, 3, 0
630, 0, 4, 0
637, 0, 5, 0
644, 0, 6, 0
650, 0, 7, 0
652, 1, 0, 0
654, 1, 1, 0
656, 1, 2, 0
657, 1, 3, 0
664, 1, 4, 0
671, 1, 5, 0
678, 1, 6, 0
685, 1, 7, 0
685, 0, 0, 0
685, 0, 1, 0
685, 0, 2, 0
686, 0, 3, 0
692, 0, 4, 0
699, 0, 5, 0
706, 0, 6, 0
713, 0, 7, 0
715, 1, 0, 0
716, 1, 1, 0
718, 1, 2, 0
720, 1, 3, 0
727, 1, 4, 0
732, 1, 5, 0
736, 1, 6, 0
740, 1, 7, 0
740, 0, 0, 0
740, 0, 1, 0
740, 0, 2, 0
741, 0, 3, 0
748, 0, 4, 0
754, 0, 5, 0
761, 0, 6, 0
768, 0, 7, 0
770, 1, 0, 0
772, 1, 1, 0
773, 1, 2, 0
775, 1, 3, 0
780, 1, 4, 0
784, 1, 5, 0
788, 1, 6, 0
792, 1, 7, 0
800, 0, 0, 0
800, 0, 1, 0
801, 0, 2, 0
801, 0, 3, 0
808, 0, 4, 0
815, 0, 5, 0
822, 0, 6, 0
828, 0, 7, 0
830, 1, 0, 0
832, 1, 1, 0
834, 1, 2, 0
835, 1, 3, 0
839, 1, 4, 0
843, 1, 5, 0
847, 1, 6, 0
851, 1, 7, 0
851, 0, 0, 0
851, 0, 1, 0
852, 0, 2, 0
852, 0, 3, 0
859, 0, 4, 0
866, 0, 5, 0
873, 0, 6, 0
879, 0, 7, 0
881, 1, 0, 0
883, 1, 1, 0
884, 1, 2, 0
885, 1, 3, 0
889, 1, 4, 0
893, 1, 5, 0
897, 1, 6, 0
902, 1, 7, 0
902, 0, 0, 0
902, 0, 1, 0
902, 0, 2, 0
